File,Console Count,Priority,Status,Assigned,Notes
apps/api/src/routes/bulkPublishCreate.ts,11,P0-Critical,pending,,"Billing route - high priority"
apps/api/src/routes/emailSubscribers.js,12,P0-Critical,pending,,"Auth-related"
apps/api/src/routes/email/index.ts,10,P0-Critical,pending,,"Email handling"
apps/api/src/billing/stripe.ts,9,P0-Critical,pending,,"Payment processing"
apps/api/src/billing/stripe.js,9,P0-Critical,pending,,"Payment processing"
apps/api/src/billing/paddleWebhook.ts,8,P0-Critical,pending,,"Payment webhooks"
apps/web/pages/api/webhooks/stripe.ts,28,P0-Critical,pending,,"Webhook handling"
apps/web/pages/api/webhooks/stripe.js,17,P0-Critical,pending,,"Webhook handling"
apps/web/pages/api/webhooks/clerk.ts,23,P0-Critical,pending,,"Auth webhooks"
apps/web/pages/api/webhooks/clerk.js,11,P0-Critical,pending,,"Auth webhooks"
apps/web/lib/auth.ts,11,P0-Critical,pending,,"Authentication"
apps/web/lib/auth.js,11,P0-Critical,pending,,"Authentication"
control-plane/services/billing.js,15,P1-High,pending,,"Billing service"
control-plane/services/jwt.js,10,P1-High,pending,,"Security - JWT"
control-plane/services/api-key-vault.ts,6,P1-High,pending,,"Security - API keys"
control-plane/services/container.ts,7,P1-High,pending,,"Core infrastructure"
control-plane/services/batch.ts,8,P1-High,pending,,"Job batching"
packages/cache/multiTierCache.ts,11,P1-High,pending,,"Cache layer"
scripts/performance-monitor.ts,55,P2-Medium,pending,,"CLI tool - needs review"
scripts/cache-warming.ts,51,P2-Medium,pending,,"Background script"
scripts/validate-env.ts,5,P2-Medium,pending,,"Validation script"
packages/kernel/queues/bullmq-worker.ts,2,P2-Medium,pending,,"Worker infrastructure"
packages/kernel/redis.ts,1,P2-Medium,pending,,"Redis client"
packages/kernel/request.ts,3,P2-Medium,pending,,"Request handling"
packages/kernel/request-context.ts,1,P2-Medium,pending,,"Context management"
packages/kernel/redlock.ts,1,P2-Medium,pending,,"Distributed locks"
packages/kernel/rateLimiterRedis.ts,1,P2-Medium,pending,,"Rate limiting"
domains/notifications/application/NotificationWorker.ts,1,P2-Medium,pending,,"Notification worker"
domains/publishing/application/PublishingWorker.ts,1,P2-Medium,pending,,"Publishing worker"
domains/search/application/SearchIndexingService.ts,1,P2-Medium,pending,,"Search indexing"
domains/search/application/SearchIndexingWorker.ts,1,P2-Medium,pending,,"Search worker"
packages/monitoring/alerting.ts,1,P2-Medium,pending,,"Monitoring"
packages/monitoring/alerting.js,6,P2-Medium,pending,,"Monitoring"
packages/monitoring/costTracker.js,1,P2-Medium,pending,,"Cost tracking"
packages/monitoring/init.ts,1,P2-Medium,pending,,"Monitoring init"
packages/security/logger.ts,3,P2-Medium,pending,,"Security logging"
packages/security/keyRotation.ts,2,P2-Medium,pending,,"Key rotation"
control-plane/adapters/affiliate/impact.js,7,P3-Low,pending,,"Affiliate adapter"
control-plane/adapters/affiliate/cj.js,4,P3-Low,pending,,"Affiliate adapter"
apps/api/src/seo/ahrefsGap.ts,7,P3-Low,pending,,"SEO analysis"
apps/api/src/seo/ahrefsGap.js,8,P3-Low,pending,,"SEO analysis"
apps/api/src/seo/sitemapIngestion.ts,2,P3-Low,pending,,"Sitemap processing"
packages/database/queryPlan.ts,3,P3-Low,pending,,"Query optimization"
packages/database/redis-cluster.ts,2,P3-Low,pending,,"Redis cluster"
packages/database/pgbouncer.ts,1,P3-Low,pending,,"Connection pooling"
packages/config/validation.ts,4,P3-Low,pending,,"Config validation"
packages/config/features.ts,4,P3-Low,pending,,"Feature flags"
packages/errors/index_patch.ts,1,P3-Low,pending,,"Error handling"
apps/api/src/routes/contentRoi.ts,7,P3-Low,pending,,"ROI calculations"
apps/api/src/routes/buyerSeoReport.ts,4,P3-Low,pending,,"SEO reports"
apps/api/src/routes/buyerRoi.ts,4,P3-Low,pending,,"ROI calculations"
apps/api/src/routes/bulkPublishDryRun.ts,5,P3-Low,pending,,"Publishing"
apps/api/src/routes/domainSaleReadiness.ts,5,P3-Low,pending,,"Domain analysis"
apps/api/src/routes/feedback.ts,5,P3-Low,pending,,"Feedback handling"
apps/api/src/routes/experiments.ts,5,P3-Low,pending,,"Experiments"
apps/api/src/routes/exports.ts,4,P3-Low,pending,,"Exports"
apps/api/src/routes/publish.ts,3,P3-Low,pending,,"Publishing"
apps/api/src/routes/publishRetry.ts,3,P3-Low,pending,,"Publishing"
apps/api/src/routes/nextActionsAdvisor.ts,2,P3-Low,pending,,"Advisory"
apps/api/src/routes/portfolioHeatmap.ts,2,P3-Low,pending,,"Analytics"
apps/api/src/adapters/gbp/GbpAdapter.ts,10,P3-Low,pending,,"Google Business Profile"
apps/api/src/adapters/wordpress/WordPressAdapter.ts,2,P3-Low,pending,,"WordPress"
apps/api/src/email/providerSync.ts,3,P3-Low,pending,,"Email sync"
apps/api/src/email/renderer/renderEmail.ts,2,P3-Low,pending,,"Email rendering"
apps/api/src/ops/metrics.ts,5,P3-Low,pending,,"Operations"
apps/api/src/services/vault/VaultClient.ts,3,P3-Low,pending,,"Vault client"
apps/api/src/utils/sanitizedErrors.ts,2,P3-Low,pending,,"Error sanitization"
apps/api/src/middleware/abuseGuard.ts,1,P3-Low,pending,,"Abuse detection"
apps/api/src/middleware/csrf.ts,1,P3-Low,pending,,"CSRF protection"
apps/api/src/config/index.ts,2,P3-Low,pending,,"Config"
apps/api/src/db.ts,1,P3-Low,pending,,"Database"
apps/api/src/jobs/index.ts,1,P3-Low,pending,,"Jobs"
apps/api/src/routes/adminAudit.ts,1,P3-Low,pending,,"Admin"
apps/api/src/routes/adminAuditExport.ts,2,P3-Low,pending,,"Admin"
apps/api/src/routes/adminBilling.ts,2,P3-Low,pending,,"Admin"
apps/api/src/routes/billingInvoices.ts,1,P3-Low,pending,,"Billing"
apps/api/src/routes/billingInvoiceExport.ts,1,P3-Low,pending,,"Billing"
apps/api/src/routes/billingPaddle.ts,1,P3-Low,pending,,"Billing"
apps/api/src/routes/billingStripe.ts,1,P3-Low,pending,,"Billing"
apps/api/src/routes/email/auth.ts,1,P3-Low,pending,,"Email"
apps/api/src/routes/email/audit.ts,1,P3-Low,pending,,"Email"
apps/api/src/routes/emailSubscribers/auth.ts,2,P3-Low,pending,,"Email"
apps/api/src/routes/emailSubscribers/audit.ts,1,P3-Low,pending,,"Email"
apps/api/src/routes/emailSubscribers/rateLimit.ts,3,P3-Low,pending,,"Email"
apps/api/src/routes/mediaAnalyticsExport.ts,1,P3-Low,pending,,"Analytics"
apps/api/src/domain/saleReadiness.ts,2,P3-Low,pending,,"Domain"
apps/api/src/canaries/AdapterCanaryRunner.ts,2,P3-Low,pending,,"Canaries"
apps/web/pages/api/exports/activity.csv.ts,3,P3-Low,pending,,"Exports"
apps/web/pages/api/exports/activity.pdf.ts,3,P3-Low,pending,,"Exports"
apps/web/pages/api/stripe/create-checkout-session.ts,1,P3-Low,pending,,"Stripe"
apps/web/pages/api/stripe/portal.ts,3,P3-Low,pending,,"Stripe"
apps/web/pages/api/domains/archive.ts,5,P3-Low,pending,,"Domains"
apps/web/pages/api/domains/create.ts,5,P3-Low,pending,,"Domains"
apps/web/pages/api/domains/transfer.ts,5,P3-Low,pending,,"Domains"
apps/web/pages/api/domains/verify-dns.ts,1,P3-Low,pending,,"Domains"
apps/web/pages/api/content/archive.ts,4,P3-Low,pending,,"Content"
apps/web/pages/api/content/create.ts,4,P3-Low,pending,,"Content"
apps/web/pages/api/content/update.ts,3,P3-Low,pending,,"Content"
apps/web/pages/api/content/unarchive.ts,4,P3-Low,pending,,"Content"
apps/web/pages/api/diligence/integrations.ts,4,P3-Low,pending,,"Diligence"
apps/web/pages/api/diligence/links.ts,2,P3-Low,pending,,"Diligence"
apps/web/pages/api/billing/[provider]/checkout.ts,8,P3-Low,pending,,"Billing"
apps/web/hooks/use-performance.ts,2,P3-Low,pending,,"Frontend hooks"
apps/web/lib/stripe.ts,1,P3-Low,pending,,"Stripe"
apps/web/lib/providers.ts,1,P3-Low,pending,,"Providers"
apps/web/middleware.ts,1,P3-Low,pending,,"Middleware"
control-plane/api/routes/themes.ts,1,P3-Low,pending,,"Themes"
control-plane/api/routes/orgs.ts,3,P3-Low,pending,,"Organizations"
control-plane/api/routes/roi-risk.ts,1,P3-Low,pending,,"ROI"
control-plane/api/routes/media.ts,2,P3-Low,pending,,"Media"
control-plane/api/routes/notifications.ts,4,P3-Low,pending,,"Notifications"
control-plane/api/routes/notifications-admin.ts,4,P3-Low,pending,,"Notifications"
control-plane/api/routes/llm.ts,3,P3-Low,pending,,"LLM"
control-plane/api/routes/content.ts,1,P3-Low,pending,,"Content"
control-plane/api/routes/planning.ts,1,P3-Low,pending,,"Planning"
control-plane/api/routes/onboarding.ts,2,P3-Low,pending,,"Onboarding"
control-plane/api/routes/portfolio.ts,2,P3-Low,pending,,"Portfolio"
control-plane/api/routes/domain-details.ts,1,P3-Low,pending,,"Domains"
control-plane/api/routes/domains.ts,1,P3-Low,pending,,"Domains"
control-plane/api/routes/content-list.ts,1,P3-Low,pending,,"Content"
control-plane/api/routes/content-schedule.ts,1,P3-Low,pending,,"Content"
control-plane/api/routes/affiliates.ts,1,P3-Low,pending,,"Affiliates"
control-plane/api/routes/attribution.ts,2,P3-Low,pending,,"Attribution"
control-plane/api/routes/usage.ts,2,P3-Low,pending,,"Usage"
control-plane/api/routes/timeline.ts,2,P3-Low,pending,,"Timeline"
control-plane/api/routes/queue-metrics.ts,1,P3-Low,pending,,"Queue metrics"
control-plane/api/routes/queues.ts,1,P3-Low,pending,,"Queues"
control-plane/api/routes/media-lifecycle.ts,2,P3-Low,pending,,"Media"
control-plane/api/routes/diligence.ts,2,P3-Low,pending,,"Diligence"
control-plane/api/http.ts,1,P3-Low,pending,,"HTTP"
control-plane/api/rate-limit-read.ts,3,P3-Low,pending,,"Rate limiting"
control-plane/services/ai-advisory-recorder.ts,2,P3-Low,pending,,"AI"
control-plane/services/affiliate-replacement-executor.ts,3,P3-Low,pending,,"Affiliates"
control-plane/services/affiliate-revenue-confidence.ts,1,P3-Low,pending,,"Affiliates"
control-plane/services/alerts.ts,7,P3-Low,pending,,"Alerts"
control-plane/services/analytics-read-model.ts,3,P3-Low,pending,,"Analytics"
control-plane/services/container.ts,7,P3-Low,pending,,"Container"
control-plane/services/invite-service.ts,1,P3-Low,pending,,"Invites"
control-plane/services/membership-service.ts,1,P3-Low,pending,,"Membership"
control-plane/services/publishing-hook.ts,2,P3-Low,pending,,"Publishing"
control-plane/services/rate-limiter-redis.ts,2,P3-Low,pending,,"Rate limiting"
control-plane/services/rate-limit.ts,1,P3-Low,pending,,"Rate limiting"
control-plane/services/repository-factory.ts,2,P3-Low,pending,,"Repository"
control-plane/services/search-query.ts,1,P3-Low,pending,,"Search"
control-plane/services/usage-batcher.ts,1,P3-Low,pending,,"Usage"
control-plane/adapters/keywords/ahrefs.ts,1,P3-Low,pending,,"Keywords"
control-plane/adapters/keywords/gsc.ts,1,P3-Low,pending,,"GSC"
domains/customers/application/CustomersService.ts,1,P3-Low,pending,,"Customers"
domains/media/application/handlers/CompleteUpload.ts,2,P3-Low,pending,,"Media"
domains/media/application/handlers/CreateUploadIntent.ts,2,P3-Low,pending,,"Media"
domains/media/application/handlers/UploadMedia.ts,2,P3-Low,pending,,"Media"
domains/notifications/application/NotificationPreferenceService.ts,2,P3-Low,pending,,"Notifications"
domains/notifications/application/NotificationService.ts,1,P3-Low,pending,,"Notifications"
domains/planning/application/PlanningOverviewService.ts,3,P3-Low,pending,,"Planning"
domains/publishing/application/PublishingService.ts,1,P3-Low,pending,,"Publishing"
domains/seo/application/handlers/UpdateSeo.ts,2,P3-Low,pending,,"SEO"
packages/analytics/pipeline.ts,1,P3-Low,pending,,"Analytics"
packages/cache/cacheInvalidation.ts,1,P3-Low,pending,,"Cache"
packages/cache/performanceHooks.ts,2,P3-Low,pending,,"Cache"
packages/cache/queryCache.ts,4,P3-Low,pending,,"Cache"
packages/database/__tests__/transaction-error-handling.test.ts,1,P3-Low,pending,,"Tests"
packages/kernel/health-checks.ts,1,P3-Low,pending,,"Health"
packages/kernel/logger.ts,1,P3-Low,pending,,"Logger"
packages/kernel/validation/types.ts,1,P3-Low,pending,,"Validation"
packages/monitoring/costTracker.ts,1,P3-Low,pending,,"Monitoring"
packages/monitoring/health-checks.ts,1,P3-Low,pending,,"Monitoring"
packages/monitoring/metrics-collector.ts,1,P3-Low,pending,,"Monitoring"
packages/monitoring/telemetry.ts,1,P3-Low,pending,,"Monitoring"
packages/utils/cacheStampedeProtection.ts,1,P3-Low,pending,,"Utils"
packages/utils/fetchWithRetry.ts,1,P3-Low,pending,,"Utils"
plugins/media-plugin.ts,1,P3-Low,pending,,"Plugins"
plugins/notification-adapters/email-adapter.ts,5,P3-Low,pending,,"Plugins"
plugins/notification-adapters/webhook-adapter.ts,1,P3-Low,pending,,"Plugins"
plugins/publishing-adapters/vercel-adapter.ts,1,P3-Low,pending,,"Plugins"
plugins/seo-plugin.ts,1,P3-Low,pending,,"Plugins"
test/setup.ts,6,P3-Low,pending,,"Test setup"
